Lot Number,Title,Description,Low Estimate,High Estimate,Reserve Price,Start Price,Condition
        94,ASSMBLD SET OF 54 LENOX & ROYAL COPENHAGEN PIECES,ASSEMBLED SET OF 54 LENOX AND ROYAL COPENHAGEN  DINNERWARE PIECES. 40 PCS LENOX BELVIDERE 8 - 10.5 DINNER PLATES 8 - 8.25 SALAD PLATES 8 - 6.25 DESSERT PLATES 8 SAUCERS 8 TEA CUPS 14 ROYAL COPENHAGEN #607 6 SOUP BOWLS,300,500,1,1,
        95,ENGLISH BAMBOO JAPANNED LACQUERED ETAGERE,ENGLISH BURNISHED BAMBOO JAPANNED LACQUERED  ETAGERE. Height: 50 in. by Width: 30.25 in. by  Depth: 12 in.,600,1000,1,1,
        96,BAKER HISTORIC CHARLESTON REPRODUCTIONS SETTEE,BAKER HISTORIC CHARLESTON REPRODUCTIONS SETTEE.  Height: 33 in. by Width: 54 in. by Depth: 21 in.,800,1000,500,1,
        97,PAIR OF FRENCH ARMCHAIRS,PAIR OF FRENCH ARMCHAIRS. Height: 40 in. by Width:  30 in. by Depth: 28 in.,300,500,250,1,
        98,19th C. FRENCH PORCELAIN GILT & SILVERED BIRDCAGE,19th CENTURY FRENCH PORCELAIN MOUNTED GILT &  SILVERED BIRDCAGE AUTOMATON BONTEMS PARIS. AS IS  NO BIRD Height: 20 in. by Width: 10 in. by Depth:  10  in.,1000,2500,1,1,
        99,ART DECO BRONZE TIFFANY DAMASCENE FLOOR LAMP,ART DECO BRONZE TIFFANY DAMASCENE FLOOR LAMP. BASE  IS STAMPED AND THE HAND BLOWN L.C.T.  FAVRILE  SHADE IS SIGNED AS WELL. Height: 58 in. by Width:  15 in. by Depth: 15 in.,3200,4200,3000,2800,
        99a,18kt. YELLOW-GOLD RUBY/DIAMOND RING,18kt. YELLOW-GOLD RUBY/DIAMOND RING - (MM/E11UP) -  5.5 GRAMS - SIZE 9,600,800,400,350,
        99b,12.0G 14K 7.18DIA GA BRACELET,12.0G 14K 7.18DIA GA BRACELET K14E112,5500,7500,4980,4980,
        99c,QUARTZ & HEMATITE OBELISK,QUARTZ & HEMATITE OBELISK 4.10LB (P117). Height:  12 in. by Width: 2.75 in. by Depth: 2.5 in.,375,675,275,150,
        99d,LARGE DENDRITE FOSSIL,LARGE DENDRITE FOSSIL 6.2LB (F312A). Height: 8.5  in. by Width: 12 in. by Depth: 1,350,650,250,200,
        99e,ROBERT RECTOR ABSTRACT ACRYLIC ON PAPER,ROBERT RECTOR ABSTRACT ACRYLIC ON PAPER. Height:  30 in. by Width: 22,500,1500,400,200,
       100,SET OF FOUR VINTAGE MCGUIRE ARMCHAIRS,SET OF FOUR VINTAGE MCGUIRE ARMCHAIRS. Height: 33  in. by Width: 24.5 in. by Depth: 28 in.,1600,3500,1,1,
